epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,700.25,0.73613,1.24565,0.50311,0.54417,0.95644,0.99653,1,0.995,0.82158,0.99653,1,0.995,0.74193,0.69815,1.05025,0.37963,0.54557,0.86035,0.0008318,0.0008318,0.0008318
61,712.085,0.78092,1.22177,0.52641,0.58656,0.97427,0.99653,1,0.995,0.82158,0.99653,1,0.995,0.74193,0.69815,1.05025,0.37963,0.54557,0.86035,0.000812,0.000812,0.000812
62,723.759,0.68204,0.99177,0.445,0.4735,0.91394,0.99674,1,0.995,0.86498,0.99674,1,0.995,0.81226,0.60496,0.91953,0.37615,0.50055,0.83257,0.0007922,0.0007922,0.0007922
63,735.419,0.62529,1.05304,0.4831,0.49456,0.88926,0.99674,1,0.995,0.86498,0.99674,1,0.995,0.81226,0.60496,0.91953,0.37615,0.50055,0.83257,0.0007724,0.0007724,0.0007724
64,746.99,0.64068,1.04417,0.44862,0.47632,0.89653,0.99694,1,0.995,0.89837,0.99694,1,0.995,0.845,0.54035,0.83537,0.37566,0.45459,0.81752,0.0007526,0.0007526,0.0007526
65,758.553,0.62173,1.15893,0.46857,0.49714,0.89234,0.99694,1,0.995,0.89837,0.99694,1,0.995,0.845,0.54035,0.83537,0.37566,0.45459,0.81752,0.0007328,0.0007328,0.0007328
66,770.095,0.66062,1.19176,0.48238,0.50611,0.89428,0.99761,1,0.995,0.8788,0.99761,1,0.995,0.85449,0.54186,0.80656,0.37491,0.42419,0.81531,0.000713,0.000713,0.000713
67,781.702,0.56531,0.90306,0.4662,0.47834,0.88536,0.99761,1,0.995,0.8788,0.99761,1,0.995,0.85449,0.54186,0.80656,0.37491,0.42419,0.81531,0.0006932,0.0006932,0.0006932
68,793.32,0.64099,1.02513,0.51709,0.59627,0.97927,0.99801,1,0.995,0.86426,0.99801,1,0.995,0.81166,0.58093,0.8111,0.37008,0.41011,0.8213,0.0006734,0.0006734,0.0006734
69,805.019,0.7609,1.24162,0.52148,0.52023,0.94099,0.99801,1,0.995,0.86426,0.99801,1,0.995,0.81166,0.58093,0.8111,0.37008,0.41011,0.8213,0.0006536,0.0006536,0.0006536
