epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,2732.76,0.77286,0.49509,0.31325,0.51798,0.92012,0.99744,0.99291,0.995,0.83926,0.99744,0.99291,0.995,0.94853,0.65805,0.30072,0.13208,0.44222,0.88165,0.0010694,0.0010694,0.0010694
49,2787.97,0.79936,0.45551,0.34004,0.49822,0.92629,0.99793,1,0.995,0.82519,0.99793,1,0.995,0.9394,0.65523,0.29185,0.12754,0.44465,0.88172,0.0010496,0.0010496,0.0010496
50,2842.71,0.78897,0.43617,0.33682,0.53238,0.9335,0.99289,0.99041,0.99486,0.84535,0.99289,0.99041,0.99486,0.9555,0.65186,0.29178,0.12938,0.43408,0.88376,0.0010298,0.0010298,0.0010298
51,2898.07,0.72118,0.46136,0.29859,0.49609,0.90727,1,0.99071,0.995,0.86243,1,0.99071,0.995,0.95964,0.61845,0.29198,0.12588,0.41864,0.87123,0.00101,0.00101,0.00101
52,2952.75,0.75526,0.60999,0.40048,0.5198,0.94785,0.99295,0.99932,0.995,0.85141,0.99295,0.99932,0.995,0.96168,0.65261,0.26064,0.13054,0.42447,0.87619,0.0009902,0.0009902,0.0009902
53,3007.69,0.74268,0.42782,0.29797,0.47126,0.92175,0.9929,0.99169,0.99486,0.84753,0.9929,0.99169,0.99486,0.96201,0.63777,0.26692,0.12946,0.43548,0.87504,0.0009704,0.0009704,0.0009704
54,3063.26,0.76077,0.54205,0.36324,0.4902,0.92811,0.99528,0.98582,0.99493,0.84603,0.99528,0.98582,0.99493,0.94868,0.62698,0.29983,0.12453,0.43193,0.87129,0.0009506,0.0009506,0.0009506
55,3118.65,0.74228,0.45418,0.31293,0.47062,0.93091,1,0.99126,0.995,0.84037,1,0.99126,0.995,0.96474,0.64406,0.28193,0.12392,0.43371,0.87271,0.0009308,0.0009308,0.0009308
56,3174.19,0.7103,0.51652,0.35265,0.48183,0.90574,0.99301,0.99291,0.995,0.86234,0.99301,0.99291,0.995,0.96526,0.58535,0.25707,0.11891,0.4354,0.86112,0.000911,0.000911,0.000911
57,3230.05,0.72069,0.44349,0.35774,0.4615,0.89741,0.9937,0.99291,0.995,0.86024,0.9937,0.99291,0.995,0.97124,0.54979,0.24114,0.11825,0.41429,0.85796,0.0008912,0.0008912,0.0008912
58,3284.68,0.7169,0.41222,0.33806,0.46545,0.94001,0.99166,0.99291,0.995,0.85019,0.99166,0.99291,0.995,0.96454,0.59974,0.23732,0.11452,0.43155,0.87128,0.0008714,0.0008714,0.0008714
59,3339.35,0.69631,0.41372,0.32466,0.46013,0.9152,0.99292,0.99426,0.995,0.8667,0.99292,0.99426,0.995,0.96694,0.54923,0.22963,0.11299,0.39234,0.86087,0.0008516,0.0008516,0.0008516
60,3393.88,0.65736,0.38143,0.33023,0.43464,0.89405,1,0.99838,0.995,0.84615,1,0.99838,0.995,0.96819,0.62485,0.23343,0.11686,0.40093,0.87228,0.0008318,0.0008318,0.0008318
61,3449.12,0.69613,0.42698,0.33309,0.46324,0.91097,1,0.99877,0.995,0.87926,1,0.99877,0.995,0.96442,0.52693,0.23752,0.12382,0.37149,0.8493,0.000812,0.000812,0.000812
62,3504.4,0.67222,0.3672,0.31641,0.45527,0.91148,0.99845,1,0.995,0.86537,0.99845,1,0.995,0.96636,0.55631,0.2257,0.12459,0.38427,0.86293,0.0007922,0.0007922,0.0007922
